date,day_pnl,condor_pnl,combined_pnl
2024-01-02,210.0,-30.0,180.0
2024-01-03,174.99999999999997,-100.0,75.0
2024-01-04,129.99999999999997,35.0,165.0
2024-01-05,-65.00000000000009,-690.0,-755.0
2024-01-08,145.0,1455.0,1600.0
2024-01-09,170.00000000000003,-330.0,-160.0
2024-01-10,-320.0,-85.0,-405.0
2024-01-11,184.99999999999997,-470.0,-285.0
2024-01-12,209.99999999999997,-545.0,-335.0
2024-01-16,180.00000000000006,-115.0,65.0
2024-01-17,210.0,150.0,360.0
2024-01-18,-250.0,-100.0,-350.0
2024-01-19,0.0,0.0,0.0
2024-01-22,79.99999999999999,-20.0,60.0
2024-01-23,145.00000000000003,295.0,440.0
2024-01-24,139.99999999999997,145.0,285.0
2024-01-25,130.00000000000003,70.0,200.0
2024-01-26,165.0,320.0,485.0
2024-01-29,145.0,160.0,305.0
2024-01-30,140.0,270.0,410.0
2024-02-01,-594.9999999999999,-860.0,-1455.0
2024-02-02,259.99999999999994,1590.0,1850.0
2024-02-05,125.00000000000003,-255.0,-130.0
2024-02-06,190.0,-290.0,-100.0
2024-02-07,185.0,-420.0,-235.0
2024-02-08,140.0,320.0,460.0
2024-02-09,175.00000000000006,-175.0,0.0
2024-02-12,35.0,-90.0,-55.0
2024-02-13,250.0,-390.0,-140.0
2024-02-14,164.99999999999994,-280.0,-115.0
2024-02-15,215.00000000000009,-320.0,-105.0
2024-02-16,190.00000000000003,-595.0,-405.0
2024-02-20,184.99999999999997,-45.0,140.0
2024-02-21,105.00000000000003,295.0,400.0
2024-02-22,249.99999999999994,-40.0,210.0
2024-02-23,215.00000000000003,-355.0,-140.0
2024-02-26,190.00000000000003,-135.0,55.0
2024-02-27,89.99999999999999,220.0,310.0
2024-02-28,144.99999999999997,265.0,410.0
2024-03-01,215.0,415.0,630.0
2024-03-04,115.00000000000003,-115.0,0.0
2024-03-05,195.0,355.0,550.0
2024-03-06,209.99999999999997,-820.0,-610.0
2024-03-07,210.0,-375.0,-165.0
2024-03-08,-430.00000000000006,-600.0,-1030.0
2024-03-11,34.99999999999992,-565.0,-530.0
2024-03-12,259.9999999999999,1520.0,1780.0
2024-03-13,150.0,310.0,460.0
2024-03-14,175.00000000000003,-395.0,-220.0
2024-03-15,0.0,0.0,0.0
2024-03-18,104.99999999999999,260.0,365.0
2024-03-19,215.00000000000003,185.0,400.0
2024-03-20,299.99999999999983,-35.0,265.0
2024-03-21,190.0,125.0,315.0
2024-03-22,124.99999999999997,290.0,415.0
2024-03-25,160.0,195.0,355.0
2024-03-26,145.00000000000003,220.0,365.0
2024-03-27,105.0,-410.0,-305.0
2024-03-28,0.0,340.0,340.0
2024-04-01,130.0,-525.0,-395.0
2024-04-02,185.00000000000006,315.0,500.0
2024-04-03,209.99999999999997,-360.0,-150.0
2024-04-04,145.00000000000003,3605.0,3750.0
2024-04-05,239.99999999999994,-165.0,75.0
2024-04-08,179.99999999999997,330.0,510.0
2024-04-09,195.0,-170.0,25.0
2024-04-10,-100.0,-630.0,-730.0
2024-04-11,-569.9999999999999,-880.0,-1450.0
2024-04-12,280.0,1520.0,1800.0
2024-04-15,305.0,5615.0,5920.0
2024-04-16,-100.00000000000009,-470.0,-570.0
2024-04-17,304.9999999999999,395.0,700.0
2024-04-18,-59.999999999999964,-460.0,-520.0
2024-04-19,0.0,1073.0,1073.0
2024-04-22,-600.0,-175.0,-775.0
2024-04-23,189.99999999999994,0.0,190.0
2024-04-24,250.0,-480.0,-230.0
2024-04-25,-540.0000000000002,260.0,-280.0
2024-04-26,249.99999999999991,-515.0,-265.0
2024-04-29,0.0,-115.0,-115.0
2024-04-30,190.0,1030.0,1220.0
2024-05-01,-530.0000000000005,2180.0,1650.0
2024-05-02,-430.00000000000017,-510.0,-940.0
2024-05-03,230.00000000000006,-510.0,-280.0
2024-05-06,150.0,10.0,160.0
2024-05-07,105.00000000000003,255.0,360.0
2024-05-08,180.00000000000003,-110.0,70.0
2024-05-09,184.99999999999997,-360.0,-175.0
2024-05-10,175.00000000000006,-335.0,-160.0
2024-05-13,179.99999999999997,270.0,450.0
2024-05-14,180.00000000000003,-25.0,155.0
2024-05-15,205.00000000000003,-400.0,-195.0
2024-05-16,110.00000000000003,-70.0,40.0
2024-05-17,135.0,235.0,370.0
2024-05-20,59.999999999999986,-20.0,40.0
2024-05-21,89.99999999999999,135.0,225.0
2024-05-22,104.99999999999999,-370.0,-265.0
2024-05-23,264.99999999999994,-590.0,-325.0
2024-05-24,185.0,-160.0,25.0
2024-05-28,110.00000000000001,-150.0,-40.0
2024-05-29,185.0,-65.0,120.0
2024-05-30,215.0,320.0,535.0
2024-05-31,204.99999999999997,-315.0,-110.0
2024-06-03,114.99999999999999,-155.0,-40.0
2024-06-04,194.99999999999997,-35.0,160.0
2024-06-05,-614.9999999999999,315.0,-300.0
2024-06-06,204.99999999999997,-175.0,30.0
2024-06-07,210.00000000000006,-340.0,-130.0
2024-06-10,180.00000000000003,-330.0,-150.0
2024-06-11,-645.0000000000001,-125.0,-770.0
2024-06-12,60.00000000000006,-680.0,-620.0
2024-06-13,165.0,-365.0,-200.0
2024-06-14,119.99999999999997,-455.0,-335.0
2024-06-17,145.00000000000003,2250.0,2395.0
2024-06-18,169.99999999999997,340.0,510.0
2024-06-20,165.0,-400.0,-235.0
2024-06-21,0.0,445.0,445.0
2024-06-24,154.99999999999997,-140.0,15.0
2024-06-25,194.99999999999997,285.0,480.0
2024-06-26,195.00000000000003,-55.0,140.0
2024-06-27,170.00000000000003,-455.0,-285.0
2024-06-28,0.0,515.0,515.0
2024-07-01,229.99999999999997,-620.0,-390.0
2024-07-02,180.00000000000006,-325.0,-145.0
2024-07-03,135.0,-440.0,-305.0
2024-07-05,145.00000000000003,-425.0,-280.0
2024-07-08,105.0,-155.0,-50.0
2024-07-09,165.00000000000003,265.0,430.0
2024-07-10,145.00000000000003,-295.0,-150.0
2024-07-11,-710.0000000000001,1140.0,430.0
